BEGIN EXPERIMENT
Window dimensions: 1536  864
Image top left corner: 256.0  48.0
Begin mouse recording... 
Img	OriX	OriY	ImgX	ImgY
01001	808	489	552.0	441.0
01001	808	489	552.0	441.0
01001	808	489	552.0	441.0
01001	808	489	552.0	441.0
01001	808	489	552.0	441.0
01001	808	489	552.0	441.0
01001	808	489	552.0	441.0
01001	811	473	555.0	425.0
01001	812	449	556.0	401.0
01001	802	439	546.0	391.0
01001	801	439	545.0	391.0
01001	801	439	545.0	391.0
01001	794	416	538.0	368.0
01001	787	370	531.0	322.0
01001	787	366	531.0	318.0
01001	787	356	531.0	308.0
01001	788	352	532.0	304.0
01001	788	353	532.0	305.0
01001	780	364	524.0	316.0
01001	763	373	507.0	325.0
01001	742	378	486.0	330.0
01001	742	378	486.0	330.0
01001	742	383	486.0	335.0
01001	742	383	486.0	335.0
01001	742	383	486.0	335.0
01001	742	383	486.0	335.0
01001	703	384	447.0	336.0
01001	695	388	439.0	340.0
01001	695	405	439.0	357.0
01001	694	421	438.0	373.0
01001	692	423	436.0	375.0
01002	692	423	436.0	375.0
01002	692	423	436.0	375.0
01002	692	423	436.0	375.0
01002	692	423	436.0	375.0
01002	692	423	436.0	375.0
01002	687	411	431.0	363.0
01002	676	382	420.0	334.0
01002	671	364	415.0	316.0
01002	668	348	412.0	300.0
01002	668	348	412.0	300.0
01002	636	328	380.0	280.0
01002	634	322	378.0	274.0
01002	634	333	378.0	285.0
01002	618	435	362.0	387.0
01002	616	435	360.0	387.0
01002	616	435	360.0	387.0
01002	616	435	360.0	387.0
01002	569	436	313.0	388.0
01002	559	440	303.0	392.0
01002	597	470	341.0	422.0
01002	754	632	498.0	584.0
01002	750	641	494.0	593.0
01002	750	641	494.0	593.0
01002	750	641	494.0	593.0
01002	750	641	494.0	593.0
01002	677	621	421.0	573.0
01002	678	618	422.0	570.0
01002	687	604	431.0	556.0
01002	703	594	447.0	546.0
01002	722	591	466.0	543.0
01002	722	591	466.0	543.0
01002	722	591	466.0	543.0
01002	722	592	466.0	544.0
01003	722	592	466.0	544.0
01003	722	592	466.0	544.0
01003	722	592	466.0	544.0
01003	722	592	466.0	544.0
01003	716	569	460.0	521.0
01003	708	420	452.0	372.0
01003	702	417	446.0	369.0
01003	640	342	384.0	294.0
01003	614	297	358.0	249.0
01003	614	297	358.0	249.0
01003	637	238	381.0	190.0
01003	639	232	383.0	184.0
01003	639	232	383.0	184.0
01003	623	224	367.0	176.0
01003	622	222	366.0	174.0
01003	625	235	369.0	187.0
01003	665	279	409.0	231.0
01003	691	310	435.0	262.0
01003	696	317	440.0	269.0
01003	696	317	440.0	269.0
